attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
X16S.17AugCD315	relative abundance	numeric	dimensionless			
X16S.17AugCD325	relative abundance	numeric	dimensionless			
X16S.17AugCW105	relative abundance	numeric	dimensionless			
X16S.17AugCW115	relative abundance	numeric	dimensionless			
X16S.17AugCW125	relative abundance	numeric	dimensionless			
X16S.17AugCW205	relative abundance	numeric	dimensionless			
X16S.17AugCW215	relative abundance	numeric	dimensionless			
X16S.17AugCW225	relative abundance	numeric	dimensionless			
X16S.17AugCW305	relative abundance	numeric	dimensionless			
X16S.17AugCW315	relative abundance	numeric	dimensionless			
X16S.17AugCW325	relative abundance	numeric	dimensionless			
X16S.17AugPD105	relative abundance	numeric	dimensionless			
X16S.17AugPD115	relative abundance	numeric	dimensionless			
X16S.17AugPD125	relative abundance	numeric	dimensionless			
X16S.17AugPD205	relative abundance	numeric	dimensionless			
X16S.17AugPD215	relative abundance	numeric	dimensionless			
X16S.17AugPD225	relative abundance	numeric	dimensionless			
X16S.17AugPD305	relative abundance	numeric	dimensionless			
X16S.17AugPD315	relative abundance	numeric	dimensionless			
X16S.17AugPD325	relative abundance	numeric	dimensionless			
X16S.17AugPW105	relative abundance	numeric	dimensionless			
X16S.17AugPW115	relative abundance	numeric	dimensionless			
X16S.17AugPW125	relative abundance	numeric	dimensionless			
X16S.17AugPW205	relative abundance	numeric	dimensionless			
X16S.17AugPW215	relative abundance	numeric	dimensionless			
X16S.17AugPW225	relative abundance	numeric	dimensionless			
X16S.17AugPW305	relative abundance	numeric	dimensionless			
X16S.17AugPW315	relative abundance	numeric	dimensionless			
X16S.17AugPW325	relative abundance	numeric	dimensionless			
X16S.17NovCD105	relative abundance	numeric	dimensionless			
X16S.17NovCD115	relative abundance	numeric	dimensionless			
X16S.17NovCD125	relative abundance	numeric	dimensionless			
X16S.17NovCD205	relative abundance	numeric	dimensionless			
X16S.17NovCD215	relative abundance	numeric	dimensionless			
X16S.17NovCD225	relative abundance	numeric	dimensionless			
X16S.17NovCD305	relative abundance	numeric	dimensionless			
X16S.17NovCD315	relative abundance	numeric	dimensionless			
X16S.17NovCD325	relative abundance	numeric	dimensionless			
X16S.17NovCW105	relative abundance	numeric	dimensionless			
X16S.17NovCW115	relative abundance	numeric	dimensionless			
X16S.17NovCW125	relative abundance	numeric	dimensionless			
X16S.17NovCW205	relative abundance	numeric	dimensionless			
X16S.17NovCW215	relative abundance	numeric	dimensionless			
X16S.17NovCW225	relative abundance	numeric	dimensionless			
X16S.17NovCW305	relative abundance	numeric	dimensionless			
X16S.17NovCW315	relative abundance	numeric	dimensionless			
X16S.17NovCW325	relative abundance	numeric	dimensionless			
X16S.17NovPD105	relative abundance	numeric	dimensionless			
X16S.17NovPD115	relative abundance	numeric	dimensionless			
X16S.17NovPD125	relative abundance	numeric	dimensionless			
X16S.17NovPD205	relative abundance	numeric	dimensionless			
X16S.17NovPD215	relative abundance	numeric	dimensionless			
X16S.17NovPD225	relative abundance	numeric	dimensionless			
X16S.17NovPD305	relative abundance	numeric	dimensionless			
X16S.17NovPD315	relative abundance	numeric	dimensionless			
X16S.17NovPD325	relative abundance	numeric	dimensionless			
X16S.17NovPW105	relative abundance	numeric	dimensionless			
X16S.17NovPW115	relative abundance	numeric	dimensionless			
X16S.17NovPW125	relative abundance	numeric	dimensionless			
X16S.17NovPW205	relative abundance	numeric	dimensionless			
X16S.17NovPW215	relative abundance	numeric	dimensionless			
X16S.17NovPW225	relative abundance	numeric	dimensionless			
X16S.17NovPW305	relative abundance	numeric	dimensionless			
X16S.17NovPW315	relative abundance	numeric	dimensionless			
X16S.17NovPW325	relative abundance	numeric	dimensionless			
X16S.18AprCD105	relative abundance	numeric	dimensionless			
X16S.18AprCD115	relative abundance	numeric	dimensionless			
X16S.18AprCD125	relative abundance	numeric	dimensionless			
X16S.18AprCD205	relative abundance	numeric	dimensionless			
X16S.18AprCD215	relative abundance	numeric	dimensionless			
X16S.18AprCD225	relative abundance	numeric	dimensionless			
X16S.18AprCD305	relative abundance	numeric	dimensionless			
X16S.18AprCD315	relative abundance	numeric	dimensionless			
X16S.18AprCD325	relative abundance	numeric	dimensionless			
X16S.18AprCW105	relative abundance	numeric	dimensionless			
X16S.18AprCW115	relative abundance	numeric	dimensionless			
X16S.18AprCW125	relative abundance	numeric	dimensionless			
X16S.18AprCW205	relative abundance	numeric	dimensionless			
X16S.18AprCW215	relative abundance	numeric	dimensionless			
X16S.18AprCW225	relative abundance	numeric	dimensionless			
X16S.18AprCW305	relative abundance	numeric	dimensionless			
X16S.18AprCW315	relative abundance	numeric	dimensionless			
X16S.18AprCW325	relative abundance	numeric	dimensionless			
X16S.18AprPD105	relative abundance	numeric	dimensionless			
X16S.18AprPD115	relative abundance	numeric	dimensionless			
X16S.18AprPD125	relative abundance	numeric	dimensionless			
X16S.18AprPD205	relative abundance	numeric	dimensionless			
X16S.18AprPD215	relative abundance	numeric	dimensionless			
X16S.18AprPD225	relative abundance	numeric	dimensionless			
X16S.18AprPD305	relative abundance	numeric	dimensionless			
X16S.18AprPD315	relative abundance	numeric	dimensionless			
X16S.18AprPD325	relative abundance	numeric	dimensionless			
X16S.18AprPW105	relative abundance	numeric	dimensionless			
X16S.18AprPW115	relative abundance	numeric	dimensionless			
X16S.18AprPW125	relative abundance	numeric	dimensionless			
X16S.18AprPW205	relative abundance	numeric	dimensionless			
X16S.18AprPW215	relative abundance	numeric	dimensionless			
X16S.18AprPW225	relative abundance	numeric	dimensionless			
X16S.18AprPW305	relative abundance	numeric	dimensionless			
X16S.18AprPW315	relative abundance	numeric	dimensionless			
X16S.18AprPW325	relative abundance	numeric	dimensionless			
X16S.18FebCD115	relative abundance	numeric	dimensionless			
X16S.18FebCD125	relative abundance	numeric	dimensionless			
X16S.18FebCD205	relative abundance	numeric	dimensionless			
X16S.18FebCD215	relative abundance	numeric	dimensionless			
X16S.18FebCD225	relative abundance	numeric	dimensionless			
X16S.18FebCD305	relative abundance	numeric	dimensionless			
X16S.18FebCD315	relative abundance	numeric	dimensionless			
X16S.18FebCD325	relative abundance	numeric	dimensionless			
X16S.18FebCW105	relative abundance	numeric	dimensionless			
X16S.18FebCW115	relative abundance	numeric	dimensionless			
X16S.18FebCW125	relative abundance	numeric	dimensionless			
X16S.18FebCW205	relative abundance	numeric	dimensionless			
X16S.18FebCW215	relative abundance	numeric	dimensionless			
X16S.18FebCW225	relative abundance	numeric	dimensionless			
X16S.18FebCW305	relative abundance	numeric	dimensionless			
X16S.18FebCW315	relative abundance	numeric	dimensionless			
X16S.18FebCW325	relative abundance	numeric	dimensionless			
X16S.18FebPD105	relative abundance	numeric	dimensionless			
X16S.18FebPD115	relative abundance	numeric	dimensionless			
X16S.18FebPD125	relative abundance	numeric	dimensionless			
X16S.18FebPD205	relative abundance	numeric	dimensionless			
X16S.18FebPD215	relative abundance	numeric	dimensionless			
X16S.18FebPD225	relative abundance	numeric	dimensionless			
X16S.18FebPD305	relative abundance	numeric	dimensionless			
X16S.18FebPD315	relative abundance	numeric	dimensionless			
X16S.18FebPD325	relative abundance	numeric	dimensionless			
X16S.18FebPW105	relative abundance	numeric	dimensionless			
X16S.18FebPW115	relative abundance	numeric	dimensionless			
X16S.18FebPW125	relative abundance	numeric	dimensionless			
X16S.18FebPW205	relative abundance	numeric	dimensionless			
X16S.18FebPW215	relative abundance	numeric	dimensionless			
X16S.18FebPW225	relative abundance	numeric	dimensionless			
X16S.18FebPW305	relative abundance	numeric	dimensionless			
X16S.18FebPW315	relative abundance	numeric	dimensionless			
X16S.18JunCD105	relative abundance	numeric	dimensionless			
X16S.18JunCD115	relative abundance	numeric	dimensionless			
X16S.18JunCD125	relative abundance	numeric	dimensionless			
X16S.18JunCD205	relative abundance	numeric	dimensionless			
X16S.18JunCD215	relative abundance	numeric	dimensionless			
X16S.18JunCD225	relative abundance	numeric	dimensionless			
X16S.18JunCD305	relative abundance	numeric	dimensionless			
X16S.18JunCD315	relative abundance	numeric	dimensionless			
X16S.18JunCD325	relative abundance	numeric	dimensionless			
X16S.18JunCW105	relative abundance	numeric	dimensionless			
X16S.18JunCW115	relative abundance	numeric	dimensionless			
X16S.18JunCW125	relative abundance	numeric	dimensionless			
X16S.18JunCW205	relative abundance	numeric	dimensionless			
X16S.18JunCW215	relative abundance	numeric	dimensionless			
X16S.18JunCW225	relative abundance	numeric	dimensionless			
X16S.18JunCW305	relative abundance	numeric	dimensionless			
X16S.18JunCW315	relative abundance	numeric	dimensionless			
X16S.18JunCW325	relative abundance	numeric	dimensionless			
X16S.18JunPD105	relative abundance	numeric	dimensionless			
X16S.18JunPD115	relative abundance	numeric	dimensionless			
X16S.18JunPD125	relative abundance	numeric	dimensionless			
X16S.18JunPD205	relative abundance	numeric	dimensionless			
X16S.18JunPD215	relative abundance	numeric	dimensionless			
X16S.18JunPD225	relative abundance	numeric	dimensionless			
X16S.18JunPD305	relative abundance	numeric	dimensionless			
X16S.18JunPD315	relative abundance	numeric	dimensionless			
X16S.18JunPD325	relative abundance	numeric	dimensionless			
X16S.18JunPW105	relative abundance	numeric	dimensionless			
X16S.18JunPW115	relative abundance	numeric	dimensionless			
X16S.18JunPW125	relative abundance	numeric	dimensionless			
X16S.18JunPW205	relative abundance	numeric	dimensionless			
X16S.18JunPW215	relative abundance	numeric	dimensionless			
X16S.18JunPW225	relative abundance	numeric	dimensionless			
X16S.18JunPW305	relative abundance	numeric	dimensionless			
X16S.18JunPW315	relative abundance	numeric	dimensionless			
X16S.18JunPW325	relative abundance	numeric	dimensionless			
X16S.18AugCD105	relative abundance	numeric	dimensionless			
X16S.18AugCD115	relative abundance	numeric	dimensionless			
X16S.18AugCD125	relative abundance	numeric	dimensionless			
X16S.18AugCD205	relative abundance	numeric	dimensionless			
X16S.18AugCD215	relative abundance	numeric	dimensionless			
X16S.18AugCD225	relative abundance	numeric	dimensionless			
X16S.18AugCD305	relative abundance	numeric	dimensionless			
X16S.18AugCD315	relative abundance	numeric	dimensionless			
X16S.18AugCD325	relative abundance	numeric	dimensionless			
X16S.18AugCW105	relative abundance	numeric	dimensionless			
X16S.18AugCW115	relative abundance	numeric	dimensionless			
X16S.18AugCW125	relative abundance	numeric	dimensionless			
X16S.18AugCW205	relative abundance	numeric	dimensionless			
X16S.18AugCW215	relative abundance	numeric	dimensionless			
X16S.18AugCW225	relative abundance	numeric	dimensionless			
X16S.18AugCW305	relative abundance	numeric	dimensionless			
X16S.18AugCW315	relative abundance	numeric	dimensionless			
X16S.18AugCW325	relative abundance	numeric	dimensionless			
X16S.18AugPD105	relative abundance	numeric	dimensionless			
X16S.18AugPD115	relative abundance	numeric	dimensionless			
X16S.18AugPD125	relative abundance	numeric	dimensionless			
X16S.18AugPD205	relative abundance	numeric	dimensionless			
X16S.18AugPD215	relative abundance	numeric	dimensionless			
X16S.18AugPD225	relative abundance	numeric	dimensionless			
X16S.18AugPD305	relative abundance	numeric	dimensionless			
X16S.18AugPD315	relative abundance	numeric	dimensionless			
X16S.18AugPD325	relative abundance	numeric	dimensionless			
X16S.18AugPW105	relative abundance	numeric	dimensionless			
X16S.18AugPW115	relative abundance	numeric	dimensionless			
X16S.18AugPW125	relative abundance	numeric	dimensionless			
X16S.18AugPW205	relative abundance	numeric	dimensionless			
X16S.18AugPW215	relative abundance	numeric	dimensionless			
X16S.18AugPW225	relative abundance	numeric	dimensionless			
X16S.18AugPW305	relative abundance	numeric	dimensionless			
X16S.18AugPW315	relative abundance	numeric	dimensionless			
X16S.18AugPW325	relative abundance	numeric	dimensionless			
X16S.18DecCD105	relative abundance	numeric	dimensionless			
X16S.18DecCD115	relative abundance	numeric	dimensionless			
X16S.18DecCD125	relative abundance	numeric	dimensionless			
X16S.18DecCD205	relative abundance	numeric	dimensionless			
X16S.18DecCD215	relative abundance	numeric	dimensionless			
X16S.18DecCD225	relative abundance	numeric	dimensionless			
X16S.18DecCD305	relative abundance	numeric	dimensionless			
X16S.18DecCD315	relative abundance	numeric	dimensionless			
X16S.18DecCD325	relative abundance	numeric	dimensionless			
X16S.18DecCW105	relative abundance	numeric	dimensionless			
X16S.18DecCW115	relative abundance	numeric	dimensionless			
X16S.18DecCW125	relative abundance	numeric	dimensionless			
X16S.18DecCW205	relative abundance	numeric	dimensionless			
X16S.18DecCW215	relative abundance	numeric	dimensionless			
X16S.18DecCW225	relative abundance	numeric	dimensionless			
X16S.18DecCW305	relative abundance	numeric	dimensionless			
X16S.18DecCW315	relative abundance	numeric	dimensionless			
X16S.18DecCW325	relative abundance	numeric	dimensionless			
X16S.18DecPW105	relative abundance	numeric	dimensionless			
X16S.18DecPW115	relative abundance	numeric	dimensionless			
X16S.18DecPW125	relative abundance	numeric	dimensionless			
X16S.18DecPW205	relative abundance	numeric	dimensionless			
X16S.18DecPW215	relative abundance	numeric	dimensionless			
X16S.18DecPW225	relative abundance	numeric	dimensionless			
X16S.18DecPW305	relative abundance	numeric	dimensionless			
X16S.18DecPW315	relative abundance	numeric	dimensionless			
X16S.18DecPW325	relative abundance	numeric	dimensionless			
X16S.18OctCD105	relative abundance	numeric	dimensionless			
X16S.18OctCD115	relative abundance	numeric	dimensionless			
X16S.18OctCD125	relative abundance	numeric	dimensionless			
X16S.18OctCD205	relative abundance	numeric	dimensionless			
X16S.18OctCD215	relative abundance	numeric	dimensionless			
X16S.18OctCD225	relative abundance	numeric	dimensionless			
X16S.18OctCD305	relative abundance	numeric	dimensionless			
X16S.18OctCD315	relative abundance	numeric	dimensionless			
X16S.18OctCD325	relative abundance	numeric	dimensionless			
X16S.18OctCW105	relative abundance	numeric	dimensionless			
X16S.18OctCW115	relative abundance	numeric	dimensionless			
X16S.18OctCW125	relative abundance	numeric	dimensionless			
X16S.18OctCW205	relative abundance	numeric	dimensionless			
X16S.18OctCW215	relative abundance	numeric	dimensionless			
X16S.18OctCW225	relative abundance	numeric	dimensionless			
X16S.18OctCW305	relative abundance	numeric	dimensionless			
X16S.18OctCW315	relative abundance	numeric	dimensionless			
X16S.18OctCW325	relative abundance	numeric	dimensionless			
X16S.18OctPD105	relative abundance	numeric	dimensionless			
X16S.18OctPD115	relative abundance	numeric	dimensionless			
X16S.18OctPD125	relative abundance	numeric	dimensionless			
X16S.18OctPD205	relative abundance	numeric	dimensionless			
X16S.18OctPD215	relative abundance	numeric	dimensionless			
X16S.18OctPD225	relative abundance	numeric	dimensionless			
X16S.18OctPD305	relative abundance	numeric	dimensionless			
X16S.18OctPD315	relative abundance	numeric	dimensionless			
X16S.18OctPD325	relative abundance	numeric	dimensionless			
X16S.18OctPW105	relative abundance	numeric	dimensionless			
X16S.18OctPW115	relative abundance	numeric	dimensionless			
X16S.18OctPW125	relative abundance	numeric	dimensionless			
X16S.18OctPW205	relative abundance	numeric	dimensionless			
X16S.18OctPW215	relative abundance	numeric	dimensionless			
X16S.18OctPW225	relative abundance	numeric	dimensionless			
X16S.18OctPW305	relative abundance	numeric	dimensionless			
X16S.18OctPW315	relative abundance	numeric	dimensionless			
X16S.18OctPW325	relative abundance	numeric	dimensionless			
X16S.19FebCD105	relative abundance	numeric	dimensionless			
X16S.19FebCD115	relative abundance	numeric	dimensionless			
X16S.19FebCD125	relative abundance	numeric	dimensionless			
X16S.19FebCD205	relative abundance	numeric	dimensionless			
X16S.19FebCD215	relative abundance	numeric	dimensionless			
X16S.19FebCD225	relative abundance	numeric	dimensionless			
X16S.19FebCD305	relative abundance	numeric	dimensionless			
X16S.19FebCD315	relative abundance	numeric	dimensionless			
X16S.19FebCD325	relative abundance	numeric	dimensionless			
X16S.19FebCW105	relative abundance	numeric	dimensionless			
X16S.19FebCW115	relative abundance	numeric	dimensionless			
X16S.19FebCW125	relative abundance	numeric	dimensionless			
X16S.19FebCW205	relative abundance	numeric	dimensionless			
X16S.19FebCW215	relative abundance	numeric	dimensionless			
X16S.19FebCW225	relative abundance	numeric	dimensionless			
X16S.19FebCW305	relative abundance	numeric	dimensionless			
X16S.19FebCW315	relative abundance	numeric	dimensionless			
X16S.19FebCW325	relative abundance	numeric	dimensionless			
X16S.19FebPD105	relative abundance	numeric	dimensionless			
X16S.19FebPD115	relative abundance	numeric	dimensionless			
X16S.19FebPD125	relative abundance	numeric	dimensionless			
X16S.19FebPD205	relative abundance	numeric	dimensionless			
X16S.19FebPD215	relative abundance	numeric	dimensionless			
X16S.19FebPD225	relative abundance	numeric	dimensionless			
X16S.19FebPD305	relative abundance	numeric	dimensionless			
X16S.19FebPD315	relative abundance	numeric	dimensionless			
X16S.19FebPD325	relative abundance	numeric	dimensionless			
X16S.19FebPW105	relative abundance	numeric	dimensionless			
X16S.19FebPW115	relative abundance	numeric	dimensionless			
X16S.19FebPW125	relative abundance	numeric	dimensionless			
X16S.19FebPW205	relative abundance	numeric	dimensionless			
X16S.19FebPW215	relative abundance	numeric	dimensionless			
X16S.19FebPW225	relative abundance	numeric	dimensionless			
X16S.19FebPW305	relative abundance	numeric	dimensionless			
X16S.19FebPW315	relative abundance	numeric	dimensionless			
X16S.19FebPW325	relative abundance	numeric	dimensionless			
X16S.19JuneCD105	relative abundance	numeric	dimensionless			
X16S.19JuneCD115	relative abundance	numeric	dimensionless			
X16S.19JuneCD125	relative abundance	numeric	dimensionless			
X16S.19JuneCD205	relative abundance	numeric	dimensionless			
X16S.19JuneCD225	relative abundance	numeric	dimensionless			
X16S.19JuneCD305	relative abundance	numeric	dimensionless			
X16S.19JuneCD315	relative abundance	numeric	dimensionless			
X16S.19JuneCD325	relative abundance	numeric	dimensionless			
X16S.19JuneCW105	relative abundance	numeric	dimensionless			
X16S.19JuneCW115	relative abundance	numeric	dimensionless			
X16S.19JuneCW125	relative abundance	numeric	dimensionless			
X16S.19JuneCW205	relative abundance	numeric	dimensionless			
X16S.19JuneCW215	relative abundance	numeric	dimensionless			
X16S.19JuneCW225	relative abundance	numeric	dimensionless			
X16S.19JuneCW305	relative abundance	numeric	dimensionless			
X16S.19JuneCW315	relative abundance	numeric	dimensionless			
X16S.19JuneCW325	relative abundance	numeric	dimensionless			
X16S.19JunePD105	relative abundance	numeric	dimensionless			
X16S.19JunePD115	relative abundance	numeric	dimensionless			
X16S.19JunePD125	relative abundance	numeric	dimensionless			
X16S.19JunePD205	relative abundance	numeric	dimensionless			
X16S.19JunePD215	relative abundance	numeric	dimensionless			
X16S.19JunePD225	relative abundance	numeric	dimensionless			
X16S.19JunePD305	relative abundance	numeric	dimensionless			
X16S.19JunePD315	relative abundance	numeric	dimensionless			
X16S.19JunePD325	relative abundance	numeric	dimensionless			
X16S.19JunePW105	relative abundance	numeric	dimensionless			
X16S.19JunePW115	relative abundance	numeric	dimensionless			
X16S.19JunePW125	relative abundance	numeric	dimensionless			
X16S.19JunePW205	relative abundance	numeric	dimensionless			
X16S.19JunePW215	relative abundance	numeric	dimensionless			
X16S.19JunePW225	relative abundance	numeric	dimensionless			
X16S.19JunePW305	relative abundance	numeric	dimensionless			
X16S.19JunePW315	relative abundance	numeric	dimensionless			
X16S.19JunePW325	relative abundance	numeric	dimensionless			
X16S.19OctCD105	relative abundance	numeric	dimensionless			
X16S.19OctCD115	relative abundance	numeric	dimensionless			
X16S.19OctCD125	relative abundance	numeric	dimensionless			
X16S.19OctCD205	relative abundance	numeric	dimensionless			
X16S.19OctCD215	relative abundance	numeric	dimensionless			
X16S.19OctCD225	relative abundance	numeric	dimensionless			
X16S.19OctCD305	relative abundance	numeric	dimensionless			
X16S.19OctCD315	relative abundance	numeric	dimensionless			
X16S.19OctCD325	relative abundance	numeric	dimensionless			
X16S.19OctCW105	relative abundance	numeric	dimensionless			
X16S.19OctCW115	relative abundance	numeric	dimensionless			
X16S.19OctCW125	relative abundance	numeric	dimensionless			
X16S.19OctCW205	relative abundance	numeric	dimensionless			
X16S.19OctCW215	relative abundance	numeric	dimensionless			
X16S.19OctCW225	relative abundance	numeric	dimensionless			
X16S.19OctCW305	relative abundance	numeric	dimensionless			
X16S.19OctCW315	relative abundance	numeric	dimensionless			
X16S.19OctCW325	relative abundance	numeric	dimensionless			
X16S.19OctPD105	relative abundance	numeric	dimensionless			
X16S.19OctPD115	relative abundance	numeric	dimensionless			
X16S.19OctPD125	relative abundance	numeric	dimensionless			
X16S.19OctPD205	relative abundance	numeric	dimensionless			
X16S.19OctPD215	relative abundance	numeric	dimensionless			
X16S.19OctPD225	relative abundance	numeric	dimensionless			
X16S.19OctPD305	relative abundance	numeric	dimensionless			
X16S.19OctPD315	relative abundance	numeric	dimensionless			
X16S.19OctPD325	relative abundance	numeric	dimensionless			
X16S.19OctPW105	relative abundance	numeric	dimensionless			
X16S.19OctPW115	relative abundance	numeric	dimensionless			
X16S.19OctPW125	relative abundance	numeric	dimensionless			
X16S.19OctPW205	relative abundance	numeric	dimensionless			
X16S.19OctPW215	relative abundance	numeric	dimensionless			
X16S.19OctPW225	relative abundance	numeric	dimensionless			
X16S.19OctPW305	relative abundance	numeric	dimensionless			
X16S.19OctPW315	relative abundance	numeric	dimensionless			
X16S.19OctPW325	relative abundance	numeric	dimensionless			
