"","OTU","Sample","Abundance","group","loc","site","year","season","season2","state","depth","water","TOM","Bio","hCOM","lCOM","NO3","NO2","NH4","P","pH","Salinity","mcrA_DW","mean_temp","sd_temp","mean_hum","sd_hum","mean_precip","sd_precip","Drought_Status","Drought_Prop","season3","Month","Mean_GW","SD_GW","aerobic_ammonia_oxidation","Nutrient_Date","Domain","Kingdom","Group","Phylum","Class","Order","Family","Genus","Species"
"17","Dada113","X16S.18JunPD105",221796574.1,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"18","Dada33","X16S.18AugCW305",214651858.2,"18AugCW3","CW","C",18,"August","18-Aug","W","05-10 cm",28.11064718,541.6540155,33.18352545,192.9588486,279.9566671,0.3,0,5.2,0.8,6.89,7.38,11500000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-73.63866667,2.278769456,0.57,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae",NA,NA
"19","Dada26","X16S.18AprPD205",194597391.8,"18AprPD2","PD","P",18,"April","18-Apr","D","05-10 cm",75.6,763.42,171.9266667,455.2739394,76.98060606,4.6,0.3,4.2,0.6,6.04,0.1,541000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,"Non-drought",0,"Spring",4,0.40478125,4.589609735,4.4,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"20","Dada23","X16S.18OctPD105",187297297.3,"18OctPD1","PD","P",18,"October","18-Oct","D","05-10 cm",67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",1,"Autumn",10,-59.32242608,6.521863229,5.15,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"21","Dada150","X16S.18OctCW205",186147524.9,"18OctCW2","CW","C",18,"October","18-Oct","W","05-10 cm",60.47297297,501.49,59.34,279.36,162.79,0.13,0.16,4.94,0.18,6.7,2.05,89400000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",0,"Autumn",10,-28.17885978,26.05611068,1.05,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"22","Dada98","X16S.18OctPD105",183072546.2,"18OctPD1","PD","P",18,"October","18-Oct","D","05-10 cm",67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",1,"Autumn",10,-59.32242608,6.521863229,5.15,"March","Bacteria","Bacteria (superkingdom)","Nitrospirae (superphylum)","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira (Nitrospiraceae)",NA
"23","Dada270","X16S.18AugPW205",179958036.1,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Nitrospirae (superphylum)","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira (Nitrospiraceae)",NA
"24","Dada340","X16S.18JunPW205",177462845,"18JunPW2","PW","P",18,"June","18-Jun","W","05-10 cm",81.3,1051.13,84.34,504.74,462.05,2.35,0.75,33.77,16.56,6.97,0.36,36500000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",0.967,"Summer",6,-11.06094444,2.901433557,5.78,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"25","Dada354","X16S.18AugPW205",175190935.8,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Nitrospirae (superphylum)","Nitrospirae","Nitrospira","Nitrospirales","FW13",NA,NA
"26","Dada25","X16S.18AugCW205",172889932.2,"18AugCW2","CW","C",18,"August","18-Aug","W","05-10 cm",60.23636364,1047.139547,67.59884653,359.3428283,488.4171635,0.3,0,21.3,3.3,6.89,7.38,73400000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-73.63866667,2.278769456,0.97,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"27","Dada119","X16S.18JunPD105",168885324.8,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"28","Dada75","X16S.18JunPD105",163963348.1,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","FJ936885",NA
"29","Dada573","X16S.18AugPW205",159697859.8,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"30","Dada890","X16S.18AugPW205",157314309.7,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","JN615836",NA
"31","Dada33","X16S.19FebCW205",156028270.9,"19FebCW2","CW","C",19,"February","19-Feb","W","05-10 cm",54.06,NA,NA,NA,NA,0.19,NA,14.74,0.78,5.75,NA,NA,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,"Non-drought",0,"Winter",2,-7.445499031,1.404334023,0.98,"April","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae",NA,NA
"32","Dada113","X16S.18OctPD105",153499288.8,"18OctPD1","PD","P",18,"October","18-Oct","D","05-10 cm",67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",1,"Autumn",10,-59.32242608,6.521863229,5.15,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"33","Dada3413","X16S.18AugPW205",151355434.3,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","AF358001",NA
"34","Dada168","X16S.18AugPW205",147780109.1,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"35","Dada33","X16S.18OctCW205",146165134,"18OctCW2","CW","C",18,"October","18-Oct","W","05-10 cm",60.47297297,501.49,59.34,279.36,162.79,0.13,0.16,4.94,0.18,6.7,2.05,89400000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",0,"Autumn",10,-28.17885978,26.05611068,1.05,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae",NA,NA
"36","Dada243","X16S.18JunPW205",145690021.2,"18JunPW2","PW","P",18,"June","18-Jun","W","05-10 cm",81.3,1051.13,84.34,504.74,462.05,2.35,0.75,33.77,16.56,6.97,0.36,36500000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",0.967,"Summer",6,-11.06094444,2.901433557,5.78,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"37","Dada53","X16S.18JunCD305",144980714.6,"18JunCD3","CD","C",18,"June","18-Jun","D","05-10 cm",35.3,309.67,26.08,81.14,202.46,0.16,0.08,5.06,0.24,6.28,2.13,134000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-65.02782292,4.960389042,0.62,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans",NA
"38","Dada23","X16S.18AprPD105",143996299.7,"18AprPD1","PD","P",18,"April","18-Apr","D","05-10 cm",77.9,740.4545455,161.885303,445.7536364,72.72909091,4,0.2,24.1,0.8,6.04,0.1,469000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,"Non-drought",0,"Spring",4,0.40478125,4.589609735,4.1,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"39","Dada599","X16S.18OctPD105",142233285.9,"18OctPD1","PD","P",18,"October","18-Oct","D","05-10 cm",67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",1,"Autumn",10,-59.32242608,6.521863229,5.15,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","EF019009",NA
"40","Dada134","X16S.18JunPD105",141199206,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans",NA
"41","Dada75","X16S.18DecPW205",140102459,"18DecPW2","PW","P",18,"December","18-Dec","W","05-10 cm",84.1,843.8959524,87.25166003,580.7136959,109.9754027,19.5,0.3,28.9,15.6,NA,NA,57500000,4.53655914,2.956265848,86.60215054,6.593722803,1.996774194,2.614508733,"Non-drought",0,"Winter",12,3.96905578,1.187272695,7.69,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","FJ936885",NA
"42","Dada168","X16S.18DecPW205",132172131.1,"18DecPW2","PW","P",18,"December","18-Dec","W","05-10 cm",84.1,843.8959524,87.25166003,580.7136959,109.9754027,19.5,0.3,28.9,15.6,NA,NA,57500000,4.53655914,2.956265848,86.60215054,6.593722803,1.996774194,2.614508733,"Non-drought",0,"Winter",12,3.96905578,1.187272695,7.69,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"43","Dada75","X16S.18JunPW205",130966029.7,"18JunPW2","PW","P",18,"June","18-Jun","W","05-10 cm",81.3,1051.13,84.34,504.74,462.05,2.35,0.75,33.77,16.56,6.97,0.36,36500000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",0.967,"Summer",6,-11.06094444,2.901433557,5.78,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","FJ936885",NA
"44","Dada141","X16S.18JunCW205",127773783.8,"18JunCW2","CW","C",18,"June","18-Jun","W","05-10 cm",52.1,924.61,100.21,266.12,558.26,0.09,0.15,12.13,0.77,6.47,6.67,1760000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-70.28076152,4.244748628,0.9,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"45","Dada890","X16S.18AugPW105",125706141.5,"18AugPW1","PW","P",18,"August","18-Aug","W","05-10 cm",80.31027668,1795.628162,101.6370208,426.4043225,1119.781747,6.8,0.1,16.8,11.5,6.85,0.41,49700000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,4.22,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","JN615836",NA
"46","Dada45","X16S.18JunPD105",124279911.1,"18JunPD1","PD","P",18,"June","18-Jun","D","05-10 cm",70.7,1497.76,125.41,757.69,614.66,5.31,0.38,17.98,2.92,6.49,0.23,643000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,"Drought",1,"Summer",6,-59.09927431,4.650930397,3.39,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"47","Dada150","X16S.18AprCW205",123395800.9,"18AprCW2","CW","C",18,"April","18-Apr","W","05-10 cm",63.8,1021,140,362,424.05651,0.5,0.1,40.9,0.5,6.28,5.47,5740000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,"Non-drought",0,"Spring",4,-4.932924379,6.49356005,0.88,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"48","Dada708","X16S.18AugPW205",122752832.6,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"49","Dada33","X16S.18AprCW305",122060144.7,"18AprCW3","CW","C",18,"April","18-Apr","W","05-10 cm",50.9,260.0088711,43.04612996,95.91151031,96.37502772,0.4,0,15.6,0,6.28,5.47,7050000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,"Non-drought",0,"Spring",4,-4.932924379,6.49356005,0.76,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae",NA,NA
"50","Dada113","X16S.18AugPW205",121561057.5,"18AugPW2","PW","P",18,"August","18-Aug","W","05-10 cm",81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.5e+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,"Drought",1,"Summer",8,-20.9099496,5.635844392,6.29,"Original","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"51","Dada98","X16S.18AprPD205",119995860.1,"18AprPD2","PD","P",18,"April","18-Apr","D","05-10 cm",75.6,763.42,171.9266667,455.2739394,76.98060606,4.6,0.3,4.2,0.6,6.04,0.1,541000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,"Non-drought",0,"Spring",4,0.40478125,4.589609735,4.4,"Original","Bacteria","Bacteria (superkingdom)","Nitrospirae (superphylum)","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira (Nitrospiraceae)",NA
"52","Dada134","X16S.18OctPD105",119701280.2,"18OctPD1","PD","P",18,"October","18-Oct","D","05-10 cm",67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,"Drought",1,"Autumn",10,-59.32242608,6.521863229,5.15,"March","Bacteria","Bacteria (superkingdom)","Proteobacteria (superphylum)","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans",NA
