"","Sample","group","loc","site","year","season","season2","state","depth","water","TOM","Bio","hCOM","lCOM","NO3","NO2","NH4","P","pH","Salinity","mcrA_DW","mean_temp","sd_temp","mean_hum","sd_hum","mean_precip","sd_precip","Drought_Status","Drought_Prop","season3","Month","Mean_GW","SD_GW","aerobic_ammonia_oxidation","Nutrient_Date"
"16","X16S.17AprCW315","17AprCW3","CW","C",17,"April","17-Apr","W","15-20 cm",45.67807351,417.9745943,62.82164152,222.6916057,78.13501322,0.06818064,0.06818064,13.71806186,0.13636128,4.4,5.2,595000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,1.56,"Original"
"17","X16S.17AprCW325","17AprCW3","CW","C",17,"April","17-Apr","W","25-30 cm",68.0608365,763.1696429,76.62223214,367.9182143,172.1710714,0.117410714,0.117410714,7.127080328,0.352232143,6.05,5.2,597000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,2,"Original"
"18","X16S.17AprPD105","17AprPD1","PD","P",17,"April","17-Apr","D","05-10 cm",62.36080178,825.232496,87.73658278,476.6431745,173.1781825,2.883182298,0.155066424,1.764628479,2.015863514,4.98,0.113,1400000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,2.25,"Original"
"19","X16S.17AprPD115","17AprPD1","PD","P",17,"April","17-Apr","D","15-20 cm",73.57695011,1388.764425,196.5188254,830.8623394,194.6352584,8.969915264,0.646448034,2.568518684,4.708917541,5.18,0.113,2590000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,4.64,"Original"
"20","X16S.17AprPD125","17AprPD1","PD","P",17,"April","17-Apr","D","25-30 cm",78.99723648,1023.941908,175.2382633,605.9481341,228.9245782,38.00375442,0.432786024,4.103065952,2.612896571,5.2,0.113,7220000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,4.09,"Original"
"21","X16S.17AprPD205","17AprPD2","PD","P",17,"April","17-Apr","D","05-10 cm",71.39411481,938.0808868,90.52375684,486.1527331,97.02079957,5.879913263,0.272612177,2.592159965,1.91841813,4.98,0.113,1180000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.08,"Original"
"22","X16S.17AprPD215","17AprPD2","PD","P",17,"April","17-Apr","D","15-20 cm",75.39855072,943.4942243,112.9818834,529.8541796,124.4416843,8.621126776,0.146920525,1.614154348,2.350728392,5.18,0.113,2080000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.81,"Original"
"23","X16S.17AprPD225","17AprPD2","PD","P",17,"April","17-Apr","D","25-30 cm",78.43397478,810.181194,97.06394948,418.6380253,104.8152239,5.849772287,0.173019518,2.92788309,1.903214696,5.2,0.113,2110000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.51,"Original"
"24","X16S.17AprPD305","17AprPD3","PD","P",17,"April","17-Apr","D","05-10 cm",71.59394479,816.7010013,85.5924297,440.8088944,117.6698872,5.327182806,0.13135732,1.580114125,2.49578908,4.98,0.113,2330000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,5.01,"Original"
"25","X16S.17AprPD315","17AprPD3","PD","P",17,"April","17-Apr","D","15-20 cm",76.63043478,1138.596279,147.0823256,621.3209302,164.8297674,8.181939662,0.362612581,2.989435919,4.653488372,5.18,0.113,10600000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.76,"Original"
"26","X16S.17AprPD325","17AprPD3","PD","P",17,"April","17-Apr","D","25-30 cm",79.83267283,1143.085788,131.8076973,647.2712638,155.9342045,11.51870142,0.185019227,6.534521418,3.330346086,5.2,0.113,9500000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.43,"Original"
"27","X16S.17AprPW105","17AprPW1","PW","P",17,"April","17-Apr","W","05-10 cm",83.46456693,1195.103733,102.6119885,78.72541278,339.2896626,0.978499233,0.227925341,6.360955303,5.242282843,5.36,0.49,40600000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,6.35,"Original"
"28","X16S.17AprPW115","17AprPW1","PW","P",17,"April","17-Apr","W","15-20 cm",76.73048601,739.4062239,86.21204853,82.61856643,153.7632076,0.157608864,0.157608864,2.39607485,2.836959549,5.36,0.49,54500000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.83,"Original"
"29","X16S.17AprPW125","17AprPW1","PW","P",17,"April","17-Apr","W","25-30 cm",79.63397466,526.3206358,91.26294087,47.58215655,112.4834888,0.182307113,0.182307113,2.43519315,6.198441849,5.39,0.49,18100000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,2.2,"Original"
"30","X16S.17AprPW205","17AprPW2","PW","P",17,"April","17-Apr","W","05-10 cm",82.20211161,979.942604,136.3798151,105.9880586,126.5897535,4.471320071,0.685206461,10.75504351,6.171995378,5.36,0.49,1.6e+07,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,5.52,"Original"
"31","X16S.17AprPW215","17AprPW2","PW","P",17,"April","17-Apr","W","15-20 cm",69.41489362,671.6667023,57.67127444,62.75637218,226.7326995,0.120499947,0.120499947,2.779618173,0.602499733,5.36,0.49,22500000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,4.12,"Original"
"32","X16S.17AprPW225","17AprPW2","PW","P",17,"April","17-Apr","W","25-30 cm",71.66172107,480.6422506,47.43613317,192.429119,102.5967835,0.126631429,0.126631429,1.579673925,0.886420001,5.39,0.49,3.9e+07,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.54,"Original"
"33","X16S.17AprPW305","17AprPW3","PW","P",17,"April","17-Apr","W","05-10 cm",76.30979499,1682.412999,104.4174537,782.1530915,351.0824489,0.442133456,0.160296981,4.826823327,4.167721519,5.36,0.49,49200000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,5.14,"Original"
"34","X16S.17AprPW315","17AprPW3","PW","P",17,"April","17-Apr","W","15-20 cm",71.04519774,1192.154936,117.3129819,538.3850875,290.0301882,1.034078137,0.128548084,3.172169518,2.442413605,5.36,0.49,48700000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.57,"Original"
"35","X16S.17AprPW325","17AprPW3","PW","P",17,"April","17-Apr","W","25-30 cm",68.29552065,473.7252316,53.67456501,193.9322863,84.78856601,0.116531839,0.116531839,1.052656898,1.398382067,5.39,0.49,18200000,7.615555556,2.248042713,72.45555556,9.855851223,1.293333333,2.291954945,"Non-drought",0,"Spring",NA,NA,NA,3.44,"Original"
"36","X16S.17AugCD105","17AugCD1","CD","C",17,"August","17-Aug","D","05-10 cm",56.23,1077.609411,137.6396332,437.6250667,288.5049508,0.105132625,0.105132625,24.78196478,1.103892567,5.34,2.23,344000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.18,"Original"
"37","X16S.17AugCD125","17AugCD1","CD","C",17,"August","17-Aug","D","25-30 cm",48.04,419.5976674,45.77036984,148.4592388,118.6479468,2.014783927,0.08294739,2.018590359,0.373263255,5.3,2.7,394000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,1.71,"Original"
"38","X16S.17AugCD205","17AugCD2","CD","C",17,"August","17-Aug","D","05-10 cm",47.31,569.192616,60.48774141,271.0856906,118.9493269,0.178334363,0.087334308,10.38156939,0.751075045,5.34,2.23,373000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.42,"Original"
"39","X16S.17AugCD215","17AugCD2","CD","C",17,"August","17-Aug","D","15-20 cm",56.04,590.1508791,70.91472897,291.1932464,108.2796402,0.095856622,0.095856622,6.628507865,0.699753341,5.47,2.69,448000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.66,"Original"
"40","X16S.17AugCD225","17AugCD2","CD","C",17,"August","17-Aug","D","25-30 cm",44.57,319.8555569,38.95462496,116.8772384,81.97175626,1.228069855,0.066817539,1.844214399,0.2605884,5.3,2.7,502000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,3.03,"Original"
"41","X16S.17AugCD315","17AugCD3","CD","C",17,"August","17-Aug","D","15-20 cm",44.74,373.9135135,54.87567568,163.3281081,73.77567568,1.955217701,0.072972973,2.285107361,0.510810811,5.47,2.69,524000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.82,"Original"
"42","X16S.17AugCD325","17AugCD3","CD","C",17,"August","17-Aug","D","25-30 cm",39.59,329.1590315,34.86820746,109.0583987,110.6218187,3.555735358,0.065689916,1.28786576,0.183931765,5.3,2.7,285000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,1.79,"Original"
"43","X16S.17AugCW105","17AugCW1","CW","C",17,"August","17-Aug","W","05-10 cm",45.6,479.958855,46.59831381,122.1553203,204.8512742,0.06295368,0.06295368,2.026504242,0.258110087,5.626666667,9.286666667,323000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.92,"Original"
"44","X16S.17AugCW115","17AugCW1","CW","C",17,"August","17-Aug","W","15-20 cm",55.94,409.9007322,42.05935256,218.1422712,109.3574115,0.077371877,0.077371877,7.871183553,0.193429694,5.38,8.51,1580000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,1.05,"Original"
"45","X16S.17AugCW125","17AugCW1","CW","C",17,"August","17-Aug","W","25-30 cm",61.09,504.8311977,31.04526238,211.7290683,141.8724925,0.296008192,0.094707939,5.894738325,0.350419374,5.91,9.69,368000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,1.77,"Original"
"46","X16S.17AugCW205","17AugCW2","CW","C",17,"August","17-Aug","W","05-10 cm",48.19,827.9867581,88.80235486,207.6443394,409.0316023,0.140491931,0.070781408,2.192691438,0.276047492,5.626666667,9.286666667,323000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.68,"Original"
"47","X16S.17AugCW215","17AugCW2","CW","C",17,"August","17-Aug","W","15-20 cm",49.82,481.7581382,69.18120283,163.8566101,129.4414585,0.067480689,0.067480689,12.33576421,0.296915034,5.38,8.51,411000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.9,"Original"
"48","X16S.17AugCW225","17AugCW2","CW","C",17,"August","17-Aug","W","25-30 cm",30.09,358.1137693,35.29145812,200.3216563,64.82766533,0.046338574,0.046338574,7.405372781,0.231692871,5.91,9.69,136000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.74,"Original"
"49","X16S.17AugCW305","17AugCW3","CW","C",17,"August","17-Aug","W","05-10 cm",53.75,802.3108199,88.85332968,323.2308744,244.9671408,0.082731219,0.082731219,2.500499843,0.479841073,5.626666667,9.286666667,838000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.82,"Original"
"50","X16S.17AugCW315","17AugCW3","CW","C",17,"August","17-Aug","W","15-20 cm",52.83,897.6895279,118.9618974,459.8792425,160.8120828,0.076257627,0.076257627,19.93851971,0.495674572,5.38,8.51,715000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,0.83,"Original"
"51","X16S.17AugCW325","17AugCW3","CW","C",17,"August","17-Aug","W","25-30 cm",45.2,565.3869741,35.06576868,331.6652948,107.7530105,0.113481493,0.062639815,8.980431268,0.263087225,5.91,9.69,93400,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,1,"Original"
"52","X16S.17AugPD105","17AugPD1","PD","P",17,"August","17-Aug","D","05-10 cm",72.54,1427.492528,142.903758,791.0395239,228.5321669,7.860790938,0.135530878,12.19777904,3.212081814,6.62,0.133333333,2350000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,3.84,"Original"
"53","X16S.17AugPD115","17AugPD1","PD","P",17,"August","17-Aug","D","15-20 cm",75.25,1131.713343,120.279098,717.1026533,126.3129887,3.455532098,0.132905081,5.050393066,4.6118063,5.91,0.08,1980000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,4.4,"Original"
"54","X16S.17AugPD125","17AugPD1","PD","P",17,"August","17-Aug","D","25-30 cm",81.63,1150.221943,118.0226977,612.1287601,306.8676986,0.21711313,0.21711313,6.513393915,1.715193731,6.673333333,0.233333333,8060000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,2.08,"Original"
"55","X16S.17AugPD205","17AugPD2","PD","P",17,"August","17-Aug","D","05-10 cm",72.7,1068.929587,89.49019066,670.9202557,135.6300122,3.700294143,0.142319005,8.254502319,1.722059967,6.62,0.133333333,1820000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,3.73,"Original"
"56","X16S.17AugPD215","17AugPD2","PD","P",17,"August","17-Aug","D","15-20 cm",73.6,1218.505469,159.7382947,769.2057311,145.1671851,1.717616072,0.143134673,10.01942709,2.104079689,5.91,0.08,16600000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,4.11,"Original"
"57","X16S.17AugPD225","17AugPD2","PD","P",17,"August","17-Aug","D","25-30 cm",73.74,748.3837608,81.42802481,435.5020622,109.8743735,5.627368681,0.140684217,4.220526511,1.392773748,6.673333333,0.233333333,7030000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,2.73,"Original"
"58","X16S.17AugPD305","17AugPD3","PD","P",17,"August","17-Aug","D","05-10 cm",74.75,913.2532985,114.7489975,506.1276463,156.0848816,5.832223508,0.182256985,13.48701686,1.968375434,6.62,0.133333333,1440000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,2.32,"Original"
"59","X16S.17AugPD315","17AugPD3","PD","P",17,"August","17-Aug","D","15-20 cm",71.53,976.3040093,130.0207222,526.3427203,116.7257588,3.158630618,0.143574119,9.763040093,1.794676488,5.91,0.08,9760000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,3.22,"Original"
"60","X16S.17AugPD325","17AugPD3","PD","P",17,"August","17-Aug","D","25-30 cm",75.92,1074.102043,149.4950671,611.6941349,149.9127483,2.436473737,0.174033838,11.48623333,1.86216207,6.673333333,0.233333333,7740000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,3.85,"Original"
"61","X16S.17AugPW105","17AugPW1","PW","P",17,"August","17-Aug","W","05-10 cm",79.6,1820.598181,162.8956268,1027.967226,315.4425902,0.239552392,0.239552392,7.186571769,3.449554449,6.74,0.63,31100000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,4.92,"Original"
"62","X16S.17AugPW115","17AugPW1","PW","P",17,"August","17-Aug","W","15-20 cm",74.4,1155.345928,128.8293639,655.9777054,168.8896427,0.187197564,0.187197564,4.118346418,2.00301394,6.67,0.5,50300000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,3.86,"Original"
"63","X16S.17AugPW125","17AugPW1","PW","P",17,"August","17-Aug","W","25-30 cm",72.27,944.4790822,127.8912305,425.0758814,215.9881232,0.167484587,0.167484587,3.014722563,2.311287298,6.73,0.41,59700000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,2.73,"Original"
"64","X16S.17AugPW205","17AugPW2","PW","P",17,"August","17-Aug","W","05-10 cm",83.66,1801.329416,212.1385323,909.4507943,329.3267417,0.302968484,0.302968484,7.877180575,5.301948464,6.74,0.63,57600000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,3.89,"Original"
"65","X16S.17AugPW215","17AugPW2","PW","P",17,"August","17-Aug","W","15-20 cm",75.83,1306.14321,151.3318078,617.8810975,237.3330068,0.180371642,0.180371642,4.689662697,3.535284187,6.67,0.5,65500000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,5.3,"Original"
"66","X16S.17AugPW225","17AugPW2","PW","P",17,"August","17-Aug","W","25-30 cm",76.67,940.6071429,124.6071429,441.6071429,126.3214286,0.178571429,0.178571429,4.642857143,2.571428571,6.73,0.41,71900000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,4.83,"Original"
"67","X16S.17AugPW305","17AugPW3","PW","P",17,"August","17-Aug","W","05-10 cm",82.68,1527.354427,92.95103011,766.4234938,308.6044617,0.176043618,0.176043618,8.450093647,7.411436303,6.74,0.63,16300000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,5.02,"Original"
"68","X16S.17AugPW315","17AugPW3","PW","P",17,"August","17-Aug","W","15-20 cm",78.62,2194.159087,192.6404851,813.0194757,883.9453897,0.222757268,0.222757268,5.79168896,7.885607277,6.67,0.5,68300000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,4.16,"Original"
"69","X16S.17AugPW325","17AugPW3","PW","P",17,"August","17-Aug","W","25-30 cm",83.69,863.6372401,123.2212592,413.4872379,163.263872,0.286427846,0.286427846,5.155701221,17.01381403,6.73,0.41,46200000,18.81505376,2.135551602,69.53763441,9.19125084,2.719354839,7.635025403,"Non-drought",0,"Summer",NA,NA,NA,2.2,"Original"
"70","X16S.17NovCD105","17NovCD1","CD","C",17,"November","17-Nov","D","05-10 cm",59.98388396,5408.61867,429.108476,3797.252057,202.7380487,0.091315219,0.215613012,22.2701823,3.104717438,4.52,0.31,205000,5.964444444,2.423289511,86.42222222,5.31313224,1.726666667,2.39553224,"Non-drought",0,"Autumn",11,-11.15674306,2.077779933,0.68,"Original"
"71","X16S.17NovCD115","17NovCD1","CD","C",17,"November","17-Nov","D","15-20 cm",38.13798042,1259.438556,168.0683424,511.7231102,78.51897516,0.16551318,0.048378913,2.557649728,0.19351565,4.5,0.93,44000,5.964444444,2.423289511,86.42222222,5.31313224,1.726666667,2.39553224,"Non-drought",0,"Autumn",11,-11.15674306,2.077779933,0.82,"Original"
"72","X16S.17NovCD125","17NovCD1","CD","C",17,"November","17-Nov","D","25-30 cm",40.71463061,347.6721397,48.25074736,159.1388861,82.82756484,0.229563196,0.050908153,0.674468435,0.050908153,4.825,0.88,33300,5.964444444,2.423289511,86.42222222,5.31313224,1.726666667,2.39553224,"Non-drought",0,"Autumn",11,-11.15674306,2.077779933,1.53,"Original"
"73","X16S.17NovCD205","17NovCD2","CD","C",17,"November","17-Nov","D","05-10 cm",49.93538767,516.7997399,96.72491492,277.1588283,102.1286793,0.189438185,0.061686808,1.572247067,0.123373616,4.52,0.31,89700,5.964444444,2.423289511,86.42222222,5.31313224,1.726666667,2.39553224,"Non-drought",0,"Autumn",11,-11.15674306,2.077779933,0.58,"Original"
"74","X16S.17NovCD215","17NovCD2","CD","C",17,"November","17-Nov","D","15-20 cm",51.82134628,560.3141358,82.39913761,288.8221062,106.1310895,0.887454596,0.062518314,0.832234913,0.125036628,4.5,0.93,33800,5.964444444,2.423289511,86.42222222,5.31313224,1.726666667,2.39553224,"Non-drought",0,"Autumn",11,-11.15674306,2.077779933,1.46,"Original"
"75","X16S.17NovCD225","17NovCD2","CD","C",17,"November","17-Nov","D","25-30 cm",50.55663461,520.4492818,61.74971931,161.1104015,109.18048,0.549950756,0.063190462,0.539088609,0.063190462,4.825,0.88,58100,5.964444444,2.423289511,86.42222222,5.31313224,1.726666667,2.39553224,"Non-drought",0,"Autumn",11,-11.15674306,2.077779933,1.39,"Original"
"76","X16S.17NovCD305","17NovCD3","CD","C",17,"November","17-Nov","D","05-10 cm",39.74264706,625.3579061,82.74058517,283.877864,89.81576583,0.528447745,0.050036638,1.064740556,0.100073277,4.52,0.31,182000,5.964444444,2.423289511,86.42222222,5.31313224,1.726666667,2.39553224,"Non-drought",0,"Autumn",11,-11.15674306,2.077779933,0.65,"Original"
