"","L1","L2","L3","L4","L5"
"KO47","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01622 fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"
"KO48","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
"KO49","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01624 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
"KO50","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01689 enolase [EC:4.2.1.11]"
"KO51","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01785 aldose 1-epimerase [EC:5.1.3.3]"
"KO52","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01792 glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"
"KO53","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01803 triosephosphate isomerase (TIM) [EC:5.3.1.1]"
"KO54","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01810 glucose-6-phosphate isomerase [EC:5.3.1.9]"
"KO55","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01834 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"KO56","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01835 phosphoglucomutase [EC:5.4.2.2]"
"KO57","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01895 acetyl-CoA synthetase [EC:6.2.1.1]"
"KO58","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01905 acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]"
"KO59","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K01913 acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]"
"KO60","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K02446 fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
"KO61","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K02777 sugar PTS system EIIA component [EC:2.7.1.-]"
"KO62","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K02779 glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]"
"KO63","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K03103 multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]"
"KO64","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K03737 pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
"KO65","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K03841 fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
"KO66","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K04041 fructose-1,6-bisphosphatase III [EC:3.1.3.11]"
"KO67","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K04072 acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]"
"KO68","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K06859 glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
"KO69","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K08074 ADP-dependent glucokinase [EC:2.7.1.147]"
"KO70","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K10705 glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]"
"KO71","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K11389 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]"
"KO72","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K11532 fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
"KO73","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K11645 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
"KO74","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K12406 pyruvate kinase isozymes R/L [EC:2.7.1.40]"
"KO75","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K12957 alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]"
"KO76","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K13810 transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]"
"KO77","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K13951 alcohol dehydrogenase 1/7 [EC:1.1.1.1]"
"KO78","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
"KO79","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K13954 alcohol dehydrogenase [EC:1.1.1.1]"
"KO80","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K13979 alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"KO81","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K13997 dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex"
"KO82","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K14028 methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"
"KO83","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]"
"KO84","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K15633 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
"KO85","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K15634 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
"KO86","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K15635 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
"KO87","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K15778 phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"
"KO88","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K15779 phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]"
"KO89","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K15916 glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]"
"KO90","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K16305 fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]"
"KO91","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K16306 fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
"KO92","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K16370 6-phosphofructokinase 2 [EC:2.7.1.11]"
"KO93","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K18857 alcohol dehydrogenase class-P [EC:1.1.1.1]"
"KO94","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K18978 glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]"
"KO95","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K20118 glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]"
"KO96","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K20866 glucose-1-phosphatase [EC:3.1.3.10]"
"KO97","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K21071 ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
"KO98","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K22224 acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]"
"KO99","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K22473 alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]"
"KO100","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K22474 alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]"
"KO101","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K24012 acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]"
"KO102","KEGG","Metabolism","Carbohydrate metabolism","ko00010 Glycolysis / Gluconeogenesis","K24182 6-phosphofructokinase [EC:2.7.1.11]"
"KO103","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)",NA
"KO104","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00024 malate dehydrogenase [EC:1.1.1.37]"
"KO105","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00025 malate dehydrogenase [EC:1.1.1.37]"
"KO106","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00026 malate dehydrogenase [EC:1.1.1.37]"
"KO107","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"KO108","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00031 isocitrate dehydrogenase [EC:1.1.1.42]"
"KO109","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00116 malate dehydrogenase (quinone) [EC:1.1.5.4]"
"KO110","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
"KO111","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00176 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
"KO112","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00177 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
"KO113","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00234 succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]"
"KO114","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00235 succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"
"KO115","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00236 succinate dehydrogenase (ubiquinone) cytochrome b560 subunit"
"KO116","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00237 succinate dehydrogenase (ubiquinone) membrane anchor subunit"
"KO117","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00239 succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
"KO118","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00240 succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
"KO119","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00241 succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
"KO120","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00242 succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
"KO121","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00244 fumarate reductase flavoprotein subunit [EC:1.3.5.4]"
"KO122","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00245 fumarate reductase iron-sulfur subunit [EC:1.3.5.4]"
"KO123","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00246 fumarate reductase subunit C"
"KO124","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00247 fumarate reductase subunit D"
"KO125","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K00658 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
"KO126","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01647 citrate synthase [EC:2.3.3.1]"
"KO127","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01648 ATP citrate (pro-S)-lyase [EC:2.3.3.8]"
"KO128","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01676 fumarate hydratase, class I [EC:4.2.1.2]"
"KO129","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01677 fumarate hydratase subunit alpha [EC:4.2.1.2]"
"KO130","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01678 fumarate hydratase subunit beta [EC:4.2.1.2]"
"KO131","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01679 fumarate hydratase, class II [EC:4.2.1.2]"
"KO132","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01681 aconitate hydratase [EC:4.2.1.3]"
"KO133","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01682 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]"
"KO134","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01899 succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]"
"KO135","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01900 succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]"
"KO136","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01902 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]"
"KO137","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01903 succinyl-CoA synthetase beta subunit [EC:6.2.1.5]"
"KO138","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01958 pyruvate carboxylase [EC:6.4.1.1]"
"KO139","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01959 pyruvate carboxylase subunit A [EC:6.4.1.1]"
"KO140","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K01960 pyruvate carboxylase subunit B [EC:6.4.1.1]"
"KO141","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K05942 citrate (Re)-synthase [EC:2.3.3.3]"
"KO142","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K15230 ATP-citrate lyase alpha-subunit [EC:2.3.3.8]"
"KO143","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K15231 ATP-citrate lyase beta-subunit [EC:2.3.3.8]"
"KO144","KEGG","Metabolism","Carbohydrate metabolism","ko00020 Citrate cycle (TCA cycle)","K18118 succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"
"KO145","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway",NA
"KO146","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00032 phosphogluconate 2-dehydrogenase [EC:1.1.1.43]"
"KO147","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
"KO148","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00034 glucose 1-dehydrogenase [EC:1.1.1.47]"
"KO149","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
"KO150","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00090 glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]"
"KO151","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00115 glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]"
"KO152","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00117 quinoprotein glucose dehydrogenase [EC:1.1.5.2]"
"KO153","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00615 transketolase [EC:2.2.1.1]"
"KO154","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00616 transaldolase [EC:2.2.1.2]"
"KO155","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00851 gluconokinase [EC:2.7.1.12]"
"KO156","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00852 ribokinase [EC:2.7.1.15]"
"KO157","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00874 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]"
"KO158","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K00948 ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
"KO159","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K01053 gluconolactonase [EC:3.1.1.17]"
"KO160","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K01057 6-phosphogluconolactonase [EC:3.1.1.31]"
"KO161","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K01619 deoxyribose-phosphate aldolase [EC:4.1.2.4]"
"KO162","KEGG","Metabolism","Carbohydrate metabolism","ko00030 Pentose phosphate pathway","K01621 xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]"
