OTU,Sample,Abundance,group,loc,site,year,season,season2,state,depth,water,TOM,Bio,hCOM,lCOM,NO3,NO2,NH4,P,pH,Salinity,mcrA_DW,mean_temp,sd_temp,mean_hum,sd_hum,mean_precip,sd_precip,Drought_Status,Drought_Prop,season3,Month,Mean_GW,SD_GW,aerobic_ammonia_oxidation,Nutrient_Date,Domain,Kingdom,Group,Phylum,Class,Order,Family,Genus,Species,Assigned_Clade_Tree2
Dada1028,X16S.18OctPD105,28165007.11,18OctPD1,PD,P,18,October,18-Oct,D,05-10 cm,67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,1,Autumn,10,-59.32242608,6.521863229,5.15,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada80,X16S.18AugPD105,25472236.89,18AugPD1,PD,P,18,August,18-Aug,D,05-10 cm,71.65384615,723.6720788,121.5518288,483.4089088,95.0616518,169.4,0.1,13.7,4.5,6.4,0.24,589000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.75,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada1028,X16S.18OctPD305,21833166.38,18OctPD3,PD,P,18,October,18-Oct,D,05-10 cm,56.03644647,2405.56,110.9,953.85,1340.82,NA,0.24,42.86,4.09,6.3,0.23,760000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,1,Autumn,10,-59.32242608,6.521863229,2.97,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada55,X16S.18AugPD205,21293102.13,18AugPD2,PD,P,18,August,18-Aug,D,05-10 cm,62.83888889,1074.73437,69.2566131,368.5682902,613.2384655,119.6,0,6.1,1.2,6.4,0.24,882000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,3.58,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada1338,X16S.18DecPW205,21147540.98,18DecPW2,PW,P,18,December,18-Dec,W,05-10 cm,84.1,843.8959524,87.25166003,580.7136959,109.9754027,19.5,0.3,28.9,15.6,NA,NA,57500000,4.53655914,2.956265848,86.60215054,6.593722803,1.996774194,2.614508733,Non-drought,0,Winter,12,3.96905578,1.187272695,7.69,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada1028,X16S.18AugPD205,21121383.56,18AugPD2,PD,P,18,August,18-Aug,D,05-10 cm,62.83888889,1074.73437,69.2566131,368.5682902,613.2384655,119.6,0,6.1,1.2,6.4,0.24,882000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,3.58,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada55,X16S.19FebCD205,20026357.7,19FebCD2,CD,C,19,February,19-Feb,D,05-10 cm,36.16,NA,NA,NA,NA,11.55,NA,52.22,0.52,5.4,NA,98600,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,Non-drought,0,Winter,2,-31.9915067,2.957510874,1.42,April,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada55,X16S.19FebPD105,18871278.33,19FebPD1,PD,P,19,February,19-Feb,D,05-10 cm,66.27,NA,NA,NA,NA,35.82,NA,9.57,3,6.32,NA,912000,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,Non-drought,0,Winter,2,-10.1771503,3.441690968,4.25,April,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada1987,X16S.18AugPW205,17876626.1,18AugPW2,PW,P,18,August,18-Aug,W,05-10 cm,81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.50E+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-20.9099496,5.635844392,6.29,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada1338,X16S.18OctPW205,17710309.93,18OctPW2,PW,P,18,October,18-Oct,W,05-10 cm,79.56656347,3038.3,206.29,440.57,2391.44,0.22,0.22,49.43,13.87,6.89,0.51,1.59E+08,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,0.903,Autumn,10,-15.95615591,5.782744408,4.54,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada1987,X16S.18OctPW205,17710309.93,18OctPW2,PW,P,18,October,18-Oct,W,05-10 cm,79.56656347,3038.3,206.29,440.57,2391.44,0.22,0.22,49.43,13.87,6.89,0.51,1.59E+08,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,0.903,Autumn,10,-15.95615591,5.782744408,4.54,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada1987,X16S.18DecPW205,17622950.82,18DecPW2,PW,P,18,December,18-Dec,W,05-10 cm,84.1,843.8959524,87.25166003,580.7136959,109.9754027,19.5,0.3,28.9,15.6,NA,NA,57500000,4.53655914,2.956265848,86.60215054,6.593722803,1.996774194,2.614508733,Non-drought,0,Winter,12,3.96905578,1.187272695,7.69,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada2820,X16S.18AugPW205,15493075.95,18AugPW2,PW,P,18,August,18-Aug,W,05-10 cm,81.95185185,1100.33703,106.9042344,434.9531785,389.0190562,11.8,0.1,18.5,11.7,6.85,0.41,1.50E+08,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-20.9099496,5.635844392,6.29,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada1338,X16S.18JunPW305,15371077.09,18JunPW3,PW,P,18,June,18-Jun,W,05-10 cm,77.8,903.14,84.86,587.32,230.96,6.68,0.51,25.94,6.92,6.97,0.36,6100000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,Drought,0.967,Summer,6,-11.06094444,2.901433557,4.15,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada643,X16S.18AugPD105,15350818.26,18AugPD1,PD,P,18,August,18-Aug,D,05-10 cm,71.65384615,723.6720788,121.5518288,483.4089088,95.0616518,169.4,0.1,13.7,4.5,6.4,0.24,589000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.75,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,EU309863,NA,NA,NT-Alpha
Dada1338,X16S.18AugPW105,14926146.67,18AugPW1,PW,P,18,August,18-Aug,W,05-10 cm,80.31027668,1795.628162,101.6370208,426.4043225,1119.781747,6.8,0.1,16.8,11.5,6.85,0.41,49700000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-20.9099496,5.635844392,4.22,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada80,X16S.19FebCD205,14590632.04,19FebCD2,CD,C,19,February,19-Feb,D,05-10 cm,36.16,NA,NA,NA,NA,11.55,NA,52.22,0.52,5.4,NA,98600,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,Non-drought,0,Winter,2,-31.9915067,2.957510874,1.42,April,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada80,X16S.18AprPD105,14320074.01,18AprPD1,PD,P,18,April,18-Apr,D,05-10 cm,77.9,740.4545455,161.885303,445.7536364,72.72909091,4,0.2,24.1,0.8,6.04,0.1,469000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,Non-drought,0,Spring,4,0.40478125,4.589609735,4.1,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada1028,X16S.19FebPD305,13634564.83,19FebPD3,PD,P,19,February,19-Feb,D,05-10 cm,62.06,NA,NA,NA,NA,38.6,NA,8.64,3.08,6.32,NA,1470000,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,Non-drought,0,Winter,2,-10.1771503,3.441690968,3.43,April,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada1987,X16S.18DecPW105,13498826.9,18DecPW1,PW,P,18,December,18-Dec,W,05-10 cm,83.7,958.6739026,101.0820855,687.2932232,134.4633526,8.7,0.3,23.8,10.2,NA,NA,1.94E+08,4.53655914,2.956265848,86.60215054,6.593722803,1.996774194,2.614508733,Non-drought,0,Winter,12,3.96905578,1.187272695,3.32,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada302,X16S.18AugPD105,13326534.53,18AugPD1,PD,P,18,August,18-Aug,D,05-10 cm,71.65384615,723.6720788,121.5518288,483.4089088,95.0616518,169.4,0.1,13.7,4.5,6.4,0.24,589000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.75,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada3546,X16S.18OctPD105,12674253.2,18OctPD1,PD,P,18,October,18-Oct,D,05-10 cm,67.0212766,859.59,101,589.43,169.16,NA,0.14,27.29,2.38,6.3,0.23,956000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,1,Autumn,10,-59.32242608,6.521863229,5.15,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Zeta
Dada1987,X16S.18AprPW105,11879090.7,18AprPW1,PW,P,18,April,18-Apr,W,05-10 cm,84.4,1302.3744,176.2176,584.4864,359.9232,2.9,0.1,28.8,4.1,6.56,0.54,4.20E+07,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,Non-drought,0,Spring,4,6.895236111,2.425894151,3.29,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada1028,X16S.18AugPD105,11639631.42,18AugPD1,PD,P,18,August,18-Aug,D,05-10 cm,71.65384615,723.6720788,121.5518288,483.4089088,95.0616518,169.4,0.1,13.7,4.5,6.4,0.24,589000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.75,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada2820,X16S.18AprPW105,11373597.48,18AprPW1,PW,P,18,April,18-Apr,W,05-10 cm,84.4,1302.3744,176.2176,584.4864,359.9232,2.9,0.1,28.8,4.1,6.56,0.54,4.20E+07,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,Non-drought,0,Spring,4,6.895236111,2.425894151,3.29,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada80,X16S.18AugPD205,10646551.06,18AugPD2,PD,P,18,August,18-Aug,D,05-10 cm,62.83888889,1074.73437,69.2566131,368.5682902,613.2384655,119.6,0,6.1,1.2,6.4,0.24,882000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,3.58,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada575,X16S.18AugPD105,10627489.56,18AugPD1,PD,P,18,August,18-Aug,D,05-10 cm,71.65384615,723.6720788,121.5518288,483.4089088,95.0616518,169.4,0.1,13.7,4.5,6.4,0.24,589000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.75,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosopumilales,NA,NA,NA,NP-Eta
Dada55,X16S.18AprCD205,10501691.29,18AprCD2,CD,C,18,April,18-Apr,D,05-10 cm,50,353.1850394,70.39370079,99.28346457,152.3976378,0.4,0,21.1,0.1,5.92,1.35,170000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,Non-drought,0,Spring,4,-16.98940972,6.021313508,1.46,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada3546,X16S.18AprPD105,10342275.67,18AprPD1,PD,P,18,April,18-Apr,D,05-10 cm,77.9,740.4545455,161.885303,445.7536364,72.72909091,4,0.2,24.1,0.8,6.04,0.1,469000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,Non-drought,0,Spring,4,0.40478125,4.589609735,4.1,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Zeta
Dada1338,X16S.18AugPW305,10296820.41,18AugPW3,PW,P,18,August,18-Aug,W,05-10 cm,76.94144144,567.7431462,94.0177323,396.5340641,66.81892225,13,0.1,12,6.8,6.85,0.41,15500000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-20.9099496,5.635844392,4.74,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada2654,X16S.18JunPW305,10247384.73,18JunPW3,PW,P,18,June,18-Jun,W,05-10 cm,77.8,903.14,84.86,587.32,230.96,6.68,0.51,25.94,6.92,6.97,0.36,6100000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,Drought,0.967,Summer,6,-11.06094444,2.901433557,4.15,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada1743,X16S.18OctPD305,10136827.25,18OctPD3,PD,P,18,October,18-Oct,D,05-10 cm,56.03644647,2405.56,110.9,953.85,1340.82,NA,0.24,42.86,4.09,6.3,0.23,760000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,1,Autumn,10,-59.32242608,6.521863229,2.97,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada1743,X16S.18AugPD105,10121418.63,18AugPD1,PD,P,18,August,18-Aug,D,05-10 cm,71.65384615,723.6720788,121.5518288,483.4089088,95.0616518,169.4,0.1,13.7,4.5,6.4,0.24,589000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.75,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada1987,X16S.18AugPW105,10028504.79,18AugPW1,PW,P,18,August,18-Aug,W,05-10 cm,80.31027668,1795.628162,101.6370208,426.4043225,1119.781747,6.8,0.1,16.8,11.5,6.85,0.41,49700000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-20.9099496,5.635844392,4.22,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada1338,X16S.19FebPW205,9800786.014,19FebPW2,PW,P,19,February,19-Feb,W,05-10 cm,74.72,NA,NA,NA,NA,0.84,NA,14.32,8.55,6.94,NA,56200000,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,Non-drought,0,Winter,2,4.995372024,0.416214823,3.53,April,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada1987,X16S.19FebPW205,9647648.733,19FebPW2,PW,P,19,February,19-Feb,W,05-10 cm,74.72,NA,NA,NA,NA,0.84,NA,14.32,8.55,6.94,NA,56200000,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,Non-drought,0,Winter,2,4.995372024,0.416214823,3.53,April,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada1334,X16S.18JunCD305,9183414.535,18JunCD3,CD,C,18,June,18-Jun,D,05-10 cm,35.3,309.67,26.08,81.14,202.46,0.16,0.08,5.06,0.24,6.28,2.13,134000,18.56888889,2.326738354,66.12222222,10.96510779,0.836666667,3.00430534,Drought,1,Summer,6,-65.02782292,4.960389042,0.62,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Zeta
Dada1338,X16S.18AprPW205,8953213.032,18AprPW2,PW,P,18,April,18-Apr,W,05-10 cm,78.4,841.3329951,92.52824637,330.979275,307.1648106,4.2,0.1,13.4,4.8,6.56,0.54,18700000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,Non-drought,0,Spring,4,6.895236111,2.425894151,3.71,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada1743,X16S.18AugPD305,8910515.672,18AugPD3,PD,P,18,August,18-Aug,D,05-10 cm,61.40082645,1781.282286,150.4183526,377.887484,863.8520682,209.1,0.3,1.6,0.2,6.4,0.24,455000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.21,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Delta
Dada55,X16S.18AugPD305,8910515.672,18AugPD3,PD,P,18,August,18-Aug,D,05-10 cm,61.40082645,1781.282286,150.4183526,377.887484,863.8520682,209.1,0.3,1.6,0.2,6.4,0.24,455000,20.72795699,3.297677036,63.95698925,8.49171358,1.151612903,2.477077709,Drought,1,Summer,8,-68.49962702,8.743766467,4.21,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada1987,X16S.18AprPW205,8426553.442,18AprPW2,PW,P,18,April,18-Apr,W,05-10 cm,78.4,841.3329951,92.52824637,330.979275,307.1648106,4.2,0.1,13.4,4.8,6.56,0.54,18700000,10.97777778,4.568686803,72.82222222,12.91876574,1.2,2.579494738,Non-drought,0,Spring,4,6.895236111,2.425894151,3.71,Original,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
Dada1338,X16S.18OctPW105,8408654.272,18OctPW1,PW,P,18,October,18-Oct,W,05-10 cm,81.00263852,1148.01,96.89,678.97,372.2,13.68,0.27,61.28,27.41,6.89,0.51,77200000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,0.903,Autumn,10,-15.95615591,5.782744408,3.97,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,NS-Gamma
Dada55,X16S.18OctPD305,8265412.986,18OctPD3,PD,P,18,October,18-Oct,D,05-10 cm,56.03644647,2405.56,110.9,953.85,1340.82,NA,0.24,42.86,4.09,6.3,0.23,760000,11.32258065,3.287567908,76.08602151,8.744084876,1.516129032,3.271095308,Drought,1,Autumn,10,-59.32242608,6.521863229,2.97,March,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Ca. Nitrosotaleales,Ca. Nitrosotalea family incertae sedis,Ca. Nitrosotalea,NA,NT-Alpha
Dada1987,X16S.19FebPW105,8185310.458,19FebPW1,PW,P,19,February,19-Feb,W,05-10 cm,83.85,NA,NA,NA,NA,2.02,NA,20.17,7.26,6.94,NA,13300000,5.196428571,2.708808058,77.70238095,10.91920922,0.953571429,2.090628497,Non-drought,0,Winter,2,4.995372024,0.416214823,3.37,April,Archaea,Archaea (superkingdom),TACK,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,NA,NA,NA,UD
